index,age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,income,state,Results,Model
1,82,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,18,<=50K,Maryland,<=50K,RandomForest
3,54,Private,4,Divorced,Machine-op-inspct,Unmarried,White,Female,40,<=50K,Idaho,,
4,41,Private,10,Separated,Prof-specialty,Own-child,White,Female,40,<=50K,Florida,<=50K,RandomForest
5,34,Private,9,Divorced,Other-service,Unmarried,White,Female,45,<=50K,Florida,,
6,38,Private,6,Separated,Adm-clerical,Unmarried,White,Male,40,<=50K,California,,
7,74,State-gov,16,Never-married,Prof-specialty,Other-relative,White,Female,20,>50K,West Virginia,,
8,68,Federal-gov,9,Divorced,Prof-specialty,Not-in-family,White,Female,40,<=50K,North Carolina,,
9,41,Private,10,Never-married,Craft-repair,Unmarried,White,Male,60,>50K,Ohio,,
10,45,Private,16,Divorced,Prof-specialty,Unmarried,Black,Female,35,>50K,Nevada,,
11,38,Self-emp-not-inc,15,Never-married,Prof-specialty,Not-in-family,White,Male,45,>50K,Maryland,,
12,52,Private,13,Widowed,Other-service,Not-in-family,White,Female,20,>50K,Hawaii,,
13,32,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,55,>50K,New Hampshire,>50K,RandomForest
15,46,Private,15,Divorced,Prof-specialty,Not-in-family,White,Male,40,>50K,North Carolina,,
16,45,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,76,>50K,Wyoming,<=50K,RandomForest
17,57,Private,14,Divorced,Exec-managerial,Not-in-family,White,Male,50,>50K,Oregon,,
18,22,Private,12,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,>50K,Illinois,,
19,34,Private,13,Separated,Sales,Not-in-family,White,Male,50,>50K,Montana,,
20,37,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,>50K,California,,
21,29,Private,7,Separated,Sales,Not-in-family,White,Female,42,<=50K,Nebraska,,
22,61,Private,9,Divorced,Sales,Unmarried,White,Female,25,<=50K,New York,<=50K,RandomForest
23,51,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,Colorado,,
25,21,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,Hawaii,,
26,33,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,<=50K,Colorado,<=50K,RandomForest
27,49,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K,Montana,<=50K,RandomForest
28,37,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,50,>50K,Colorado,<=50K,RandomForest
29,38,Private,6,Never-married,Prof-specialty,Not-in-family,White,Male,90,>50K,Rhode Island,,
30,23,Private,10,Separated,Other-service,Not-in-family,White,Male,40,>50K,New York,<=50K,RandomForest
31,59,Self-emp-inc,6,Widowed,Exec-managerial,Unmarried,White,Female,50,>50K,Florida,,
32,52,Private,15,Divorced,Exec-managerial,Not-in-family,White,Male,60,>50K,Montana,,
33,51,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,50,>50K,Wyoming,,
34,60,Self-emp-not-inc,9,Never-married,Exec-managerial,Not-in-family,Black,Male,50,>50K,Delaware,,
35,63,Federal-gov,16,Divorced,Exec-managerial,Not-in-family,White,Female,60,>50K,South Dakota,,
36,53,Private,9,Never-married,Sales,Not-in-family,White,Male,48,>50K,Utah,<=50K,RandomForest
37,51,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,>50K,Arizona,>50K,RandomForest
38,37,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,>50K,Tennessee,>50K,RandomForest
39,54,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,>50K,Illinois,,
40,44,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,50,>50K,Utah,>50K,RandomForest
