index,age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,income,state,Results,Model
1,82,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,18,0,Maryland,0.0,Sequential NN
4,41,Private,10,Separated,Prof-specialty,Own-child,White,Female,40,0,Florida,0.0,Sequential NN
13,32,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,55,1,New Hampshire,0.0,Sequential NN
16,45,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,76,1,Wyoming,0.0,Sequential NN
22,61,Private,9,Divorced,Sales,Unmarried,White,Female,25,0,New York,0.0,Sequential NN
26,33,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,0,Colorado,0.0,Sequential NN
27,49,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,40,0,Montana,0.0,Sequential NN
28,37,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,50,1,Colorado,0.0,Sequential NN
30,23,Private,10,Separated,Other-service,Not-in-family,White,Male,40,1,New York,0.0,Sequential NN
36,53,Private,9,Never-married,Sales,Not-in-family,White,Male,48,1,Utah,0.0,Sequential NN
37,51,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,1,Arizona,1.0,Sequential NN
38,37,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,1,Tennessee,1.0,Sequential NN
40,44,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,50,1,Utah,0.0,Sequential NN
41,43,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,1,Indiana,0.0,Sequential NN
42,51,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,1,Kansas,0.0,Sequential NN
45,48,Private,13,Married-spouse-absent,Sales,Unmarried,White,Female,70,1,Maryland,0.0,Sequential NN
51,50,Private,9,Widowed,Sales,Not-in-family,White,Female,72,1,Louisiana,0.0,Sequential NN
52,51,State-gov,11,Divorced,Tech-support,Not-in-family,White,Male,39,1,Illinois,0.0,Sequential NN
53,42,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,1,South Carolina,0.0,Sequential NN
63,51,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,1,New Mexico,1.0,Sequential NN
73,55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1,Oklahoma,1.0,Sequential NN
77,46,Private,14,Married-civ-spouse,Sales,Husband,White,Male,65,1,Oregon,1.0,Sequential NN
80,41,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1,Kansas,1.0,Sequential NN
82,31,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,1,Nevada,1.0,Sequential NN
87,43,Federal-gov,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,1,Massachusetts,1.0,Sequential NN
89,44,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1,Minnesota,1.0,Sequential NN
