index,age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,income,state,Results,Model
1,82,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,18,<=50K,Maryland,<=50K,GradientBoosting
4,41,Private,10,Separated,Prof-specialty,Own-child,White,Female,40,<=50K,Florida,<=50K,GradientBoosting
13,32,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,55,>50K,New Hampshire,<=50K,GradientBoosting
16,45,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,76,>50K,Wyoming,<=50K,GradientBoosting
22,61,Private,9,Divorced,Sales,Unmarried,White,Female,25,<=50K,New York,<=50K,GradientBoosting
26,33,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,<=50K,Colorado,<=50K,GradientBoosting
27,49,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K,Montana,<=50K,GradientBoosting
28,37,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,50,>50K,Colorado,<=50K,GradientBoosting
30,23,Private,10,Separated,Other-service,Not-in-family,White,Male,40,>50K,New York,<=50K,GradientBoosting
36,53,Private,9,Never-married,Sales,Not-in-family,White,Male,48,>50K,Utah,<=50K,GradientBoosting
37,51,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,>50K,Arizona,>50K,GradientBoosting
38,37,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,>50K,Tennessee,>50K,GradientBoosting
40,44,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,50,>50K,Utah,>50K,GradientBoosting
41,43,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,>50K,Indiana,<=50K,GradientBoosting
42,51,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,>50K,Kansas,<=50K,GradientBoosting
45,48,Private,13,Married-spouse-absent,Sales,Unmarried,White,Female,70,>50K,Maryland,<=50K,GradientBoosting
51,50,Private,9,Widowed,Sales,Not-in-family,White,Female,72,>50K,Louisiana,<=50K,GradientBoosting
52,51,State-gov,11,Divorced,Tech-support,Not-in-family,White,Male,39,>50K,Illinois,<=50K,GradientBoosting
53,42,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,>50K,South Carolina,<=50K,GradientBoosting
63,51,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,>50K,New Mexico,>50K,GradientBoosting
73,55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,Oklahoma,>50K,GradientBoosting
77,46,Private,14,Married-civ-spouse,Sales,Husband,White,Male,65,>50K,Oregon,>50K,GradientBoosting
