index,age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,income,state,Results,Model
1,82,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,18,<=50K,Maryland,<=50K,LogisticRegression
4,41,Private,10,Separated,Prof-specialty,Own-child,White,Female,40,<=50K,Florida,<=50K,LogisticRegression
13,32,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,55,>50K,New Hampshire,<=50K,LogisticRegression
16,45,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,76,>50K,Wyoming,<=50K,LogisticRegression
22,61,Private,9,Divorced,Sales,Unmarried,White,Female,25,<=50K,New York,<=50K,LogisticRegression
26,33,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,<=50K,Colorado,<=50K,LogisticRegression
27,49,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K,Montana,<=50K,LogisticRegression
28,37,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,50,>50K,Colorado,<=50K,LogisticRegression
30,23,Private,10,Separated,Other-service,Not-in-family,White,Male,40,>50K,New York,<=50K,LogisticRegression
36,53,Private,9,Never-married,Sales,Not-in-family,White,Male,48,>50K,Utah,<=50K,LogisticRegression
37,51,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,>50K,Arizona,>50K,LogisticRegression
38,37,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,>50K,Tennessee,<=50K,LogisticRegression
40,44,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,50,>50K,Utah,>50K,LogisticRegression
41,43,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,>50K,Indiana,<=50K,LogisticRegression
42,51,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,>50K,Kansas,<=50K,LogisticRegression
45,48,Private,13,Married-spouse-absent,Sales,Unmarried,White,Female,70,>50K,Maryland,<=50K,LogisticRegression
51,50,Private,9,Widowed,Sales,Not-in-family,White,Female,72,>50K,Louisiana,<=50K,LogisticRegression
52,51,State-gov,11,Divorced,Tech-support,Not-in-family,White,Male,39,>50K,Illinois,<=50K,LogisticRegression
53,42,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,>50K,South Carolina,<=50K,LogisticRegression
63,51,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,>50K,New Mexico,>50K,LogisticRegression
73,55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,Oklahoma,>50K,LogisticRegression
77,46,Private,14,Married-civ-spouse,Sales,Husband,White,Male,65,>50K,Oregon,>50K,LogisticRegression
80,41,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,Kansas,<=50K,LogisticRegression
82,31,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,>50K,Nevada,>50K,LogisticRegression
87,43,Federal-gov,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,>50K,Massachusetts,>50K,LogisticRegression
89,44,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K,Minnesota,>50K,LogisticRegression
90,39,Private,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,>50K,Hawaii,>50K,LogisticRegression
92,39,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,>50K,Oregon,>50K,LogisticRegression
96,46,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,>50K,South Carolina,>50K,LogisticRegression
99,59,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,California,>50K,LogisticRegression
100,50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,Minnesota,>50K,LogisticRegression
103,50,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,>50K,Washington,>50K,LogisticRegression
110,47,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,California,>50K,LogisticRegression
115,46,Self-emp-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,California,>50K,LogisticRegression
116,78,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,South Carolina,>50K,LogisticRegression
117,71,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,Montana,>50K,LogisticRegression
118,83,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,West Virginia,>50K,LogisticRegression
119,68,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,Hawaii,>50K,LogisticRegression
128,81,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,>50K,Maine,<=50K,LogisticRegression
138,35,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,Washington,<=50K,LogisticRegression
141,65,Self-emp-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,<=50K,Maine,>50K,LogisticRegression
142,46,Private,3,Divorced,Craft-repair,Not-in-family,White,Female,45,<=50K,Washington,<=50K,LogisticRegression
145,61,Private,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,<=50K,Wyoming,<=50K,LogisticRegression
149,25,Private,13,Never-married,Prof-specialty,Own-child,White,Female,35,<=50K,Rhode Island,<=50K,LogisticRegression
159,69,Private,13,Widowed,Prof-specialty,Not-in-family,White,Male,40,>50K,Wyoming,>50K,LogisticRegression
165,33,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,84,<=50K,Alabama,>50K,LogisticRegression
171,57,Federal-gov,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K,Wyoming,>50K,LogisticRegression
175,27,Self-emp-not-inc,9,Never-married,Craft-repair,Not-in-family,White,Male,50,<=50K,Alabama,<=50K,LogisticRegression
182,44,Federal-gov,13,Divorced,Tech-support,Not-in-family,White,Male,40,>50K,New Mexico,>50K,LogisticRegression
187,48,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,>50K,Alabama,<=50K,LogisticRegression
193,72,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,>50K,Missouri,>50K,LogisticRegression
195,28,Private,6,Widowed,Adm-clerical,Unmarried,White,Female,35,<=50K,Idaho,<=50K,LogisticRegression
199,90,Private,9,Never-married,Other-service,Not-in-family,Black,Male,40,<=50K,California,<=50K,LogisticRegression
200,68,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,30,<=50K,Pennsylvania,<=50K,LogisticRegression
204,66,Local-gov,13,Widowed,Prof-specialty,Not-in-family,Black,Female,25,<=50K,Rhode Island,<=50K,LogisticRegression
208,20,Private,12,Never-married,Other-service,Own-child,White,Female,18,<=50K,Pennsylvania,<=50K,LogisticRegression
209,38,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,40,<=50K,Nevada,<=50K,LogisticRegression
212,42,Private,4,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,<=50K,Oklahoma,<=50K,LogisticRegression
