index,age,workclass,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,income,state,Results,Model
1,82,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,18,<=50K,Maryland,<=50K,RandomForest
4,41,Private,10,Separated,Prof-specialty,Own-child,White,Female,40,<=50K,Florida,<=50K,RandomForest
13,32,Private,14,Separated,Exec-managerial,Not-in-family,White,Male,55,>50K,New Hampshire,>50K,RandomForest
16,45,Private,7,Divorced,Transport-moving,Not-in-family,White,Male,76,>50K,Wyoming,<=50K,RandomForest
22,61,Private,9,Divorced,Sales,Unmarried,White,Female,25,<=50K,New York,<=50K,RandomForest
26,33,Private,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,<=50K,Colorado,<=50K,RandomForest
27,49,Private,3,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K,Montana,<=50K,RandomForest
28,37,Self-emp-inc,6,Never-married,Transport-moving,Not-in-family,White,Male,50,>50K,Colorado,<=50K,RandomForest
30,23,Private,10,Separated,Other-service,Not-in-family,White,Male,40,>50K,New York,<=50K,RandomForest
36,53,Private,9,Never-married,Sales,Not-in-family,White,Male,48,>50K,Utah,<=50K,RandomForest
37,51,Private,15,Never-married,Prof-specialty,Not-in-family,White,Female,50,>50K,Arizona,>50K,RandomForest
38,37,Self-emp-not-inc,16,Never-married,Prof-specialty,Not-in-family,White,Female,60,>50K,Tennessee,>50K,RandomForest
40,44,Private,13,Divorced,Exec-managerial,Unmarried,White,Male,50,>50K,Utah,>50K,RandomForest
41,43,Private,14,Divorced,Exec-managerial,Unmarried,White,Female,40,>50K,Indiana,<=50K,RandomForest
42,51,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,>50K,Kansas,<=50K,RandomForest
45,48,Private,13,Married-spouse-absent,Sales,Unmarried,White,Female,70,>50K,Maryland,<=50K,RandomForest
51,50,Private,9,Widowed,Sales,Not-in-family,White,Female,72,>50K,Louisiana,<=50K,RandomForest
52,51,State-gov,11,Divorced,Tech-support,Not-in-family,White,Male,39,>50K,Illinois,<=50K,RandomForest
53,42,Private,10,Never-married,Exec-managerial,Not-in-family,White,Female,40,>50K,South Carolina,<=50K,RandomForest
63,51,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,>50K,New Mexico,>50K,RandomForest
73,55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,Oklahoma,>50K,RandomForest
77,46,Private,14,Married-civ-spouse,Sales,Husband,White,Male,65,>50K,Oregon,>50K,RandomForest
80,41,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,Kansas,>50K,RandomForest
82,31,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,>50K,Nevada,>50K,RandomForest
87,43,Federal-gov,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,>50K,Massachusetts,>50K,RandomForest
89,44,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K,Minnesota,>50K,RandomForest
90,39,Private,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,>50K,Hawaii,>50K,RandomForest
92,39,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,>50K,Oregon,<=50K,RandomForest
96,46,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,>50K,South Carolina,>50K,RandomForest
99,59,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,California,>50K,RandomForest
100,50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,Minnesota,>50K,RandomForest
103,50,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,>50K,Washington,>50K,RandomForest
110,47,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,California,>50K,RandomForest
