,class,precision,recall,f1-score,support,model
0,0,0.872437743520244,0.8953407510431154,0.8837408837408838,5752,NeuralNetwork
1,1,0.6612267867191897,0.6094398340248963,0.6342780026990553,1928,NeuralNetwork
2,accuracy,0.8235677083333334,0.8235677083333334,0.8235677083333334,0,NeuralNetwork
3,macro avg,0.7668322651197168,0.7523902925340058,0.7590094432199695,7680,NeuralNetwork
4,weighted avg,0.8194149929066459,0.8235677083333334,0.8211153063126748,7680,NeuralNetwork
5,0,0.8505145648002791,0.8477051460361613,0.8491075315629082,5752,decisionTree
6,1,0.5500770416024653,0.5554979253112033,0.5527741935483871,1928,decisionTree
7,accuracy,0.7743489583333333,0.7743489583333333,0.7743489583333333,0,decisionTree
8,macro avg,0.7002958032013722,0.7016015356736823,0.7009408625556477,7680,decisionTree
9,weighted avg,0.7750922282474946,0.7743489583333333,0.7747155164988461,7680,decisionTree
10,0,0.8621288692356286,0.8877866319726785,0.874769649867799,6149,KNeighbors
11,1,0.6185737976782753,0.5617469879518072,0.5887924230465666,1992,KNeighbors
12,accuracy,0.8080088441223436,0.8080088441223436,0.8080088441223436,0,KNeighbors
13,macro avg,0.7403513334569519,0.7247668099622429,0.7317810364571828,8141,KNeighbors
14,weighted avg,0.8025340157112154,0.8080088441223436,0.8047946301124992,8141,KNeighbors
15,0,0.8251382913337431,0.9335883171070932,0.8760195758564437,5752,LogisticRegression
16,1,0.674061433447099,0.4097510373443983,0.5096774193548387,1928,LogisticRegression
17,accuracy,0.8020833333333334,0.8020833333333334,0.8020833333333334,0,LogisticRegression
18,macro avg,0.749599862390421,0.6716696772257458,0.6928484976056413,7680,LogisticRegression
19,weighted avg,0.7872117051351168,0.8020833333333334,0.7840524303180201,7680,LogisticRegression
20,0,0.867816091954023,0.9188108484005564,0.8925857118729944,5752,GradientBoosting
21,1,0.7062893081761006,0.5824688796680498,0.6384309266628766,1928,GradientBoosting
22,accuracy,0.834375,0.834375,0.834375,0,GradientBoosting
23,macro avg,0.7870527000650618,0.750639864034303,0.7655083192679355,7680,GradientBoosting
24,weighted avg,0.8272661389431071,0.834375,0.8287822710025378,7680,GradientBoosting
25,0,0.8654873164218959,0.9015994436717664,0.8831743869209809,5752,RandomForest
26,1,0.6646919431279621,0.5819502074688797,0.620575221238938,1928,RandomForest
27,accuracy,0.8213541666666667,0.8213541666666667,0.8213541666666667,0,RandomForest
28,macro avg,0.765089629774929,0.741774825570323,0.7518748040799594,7680,RandomForest
29,weighted avg,0.8150793112512312,0.8213541666666667,0.8172510547028847,7680,RandomForest
