County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Autauga County, Alabama,58805,55648,168,1,1,57982,4839,94.63,0.29
Baldwin County, Alabama,231767,216743,600,1,3,61756,2268,93.52,0.26
Barbour County, Alabama,25223,24523,28,1,5,34990,2909,97.22,0.11
Bibb County, Alabama,22293,21534,49,1,7,51721,6237,96.6,0.22
Blount County, Alabama,59134,55478,109,1,9,48922,2269,93.82,0.18
Bullock County, Alabama,10357,10109,21,1,11,33866,10094,97.61,0.2
Butler County, Alabama,19051,18464,37,1,13,44850,2891,96.92,0.19
Calhoun County, Alabama,116441,110412,265,1,15,50128,1964,94.82,0.23
Cherokee County, Alabama,24971,24051,25,1,19,42509,3824,96.32,0.1
Chilton County, Alabama,45014,43011,45,1,21,52141,4263,95.55,0.1
Choctaw County, Alabama,12665,12405,10,1,23,36634,2639,97.95,0.08
Clarke County, Alabama,23087,22535,29,1,25,37345,5617,97.61,0.13
Clay County, Alabama,14236,13641,30,1,27,42678,3933,95.82,0.21
Cleburne County, Alabama,15056,14490,25,1,29,46320,4995,96.24,0.17
Coffee County, Alabama,53465,49358,215,1,31,56799,3287,92.32,0.4
Colbert County, Alabama,57227,54530,69,1,33,47962,3470,95.29,0.12
Conecuh County, Alabama,11597,11228,24,1,35,35444,3137,96.82,0.21
Coosa County, Alabama,10387,10033,21,1,37,43571,8028,96.59,0.2
Crenshaw County, Alabama,13194,12715,30,1,41,42611,2556,96.37,0.23
Cullman County, Alabama,87866,83209,173,1,43,48388,2887,94.7,0.2
Dallas County, Alabama,38462,37656,47,1,47,33317,1786,97.9,0.12
DeKalb County, Alabama,71608,66904,149,1,49,42267,2236,93.43,0.21
Escambia County, Alabama,36757,35146,68,1,53,35558,2902,95.62,0.18
Etowah County, Alabama,103436,98179,239,1,55,44934,1643,94.92,0.23
Franklin County, Alabama,32113,30521,63,1,59,41174,4093,95.04,0.2
Greene County, Alabama,7730,7592,11,1,63,26688,3196,98.21,0.14
Hale County, Alabama,14785,14481,22,1,65,30793,5559,97.94,0.15
Houston County, Alabama,107202,101611,278,1,69,49069,1379,94.78,0.26
Jackson County, Alabama,52579,49025,120,1,71,42578,2418,93.24,0.23
Lamar County, Alabama,13972,13530,11,1,75,42688,5653,96.84,0.08
Lauderdale County, Alabama,93564,89106,216,1,77,48428,2729,95.24,0.23
Lee County, Alabama,174241,165025,501,1,81,52930,3248,94.71,0.29
Lowndes County, Alabama,10311,10086,11,1,85,33634,5649,97.82,0.11
Macon County, Alabama,19532,19032,52,1,87,35450,3140,97.44,0.27
Marengo County, Alabama,19323,18900,23,1,91,33029,3669,97.81,0.12
Marion County, Alabama,29341,28028,50,1,93,40978,3372,95.53,0.17
Mobile County, Alabama,414809,394678,1094,1,97,49625,1232,95.15,0.26
Monroe County, Alabama,19772,19149,40,1,99,31969,3733,96.85,0.2
Morgan County, Alabama,123421,115182,367,1,103,52923,1858,93.32,0.3
Pickens County, Alabama,19123,18623,21,1,107,40362,2740,97.39,0.11
Pike County, Alabama,33009,31653,89,1,109,39218,3492,95.89,0.27
Russell County, Alabama,59183,55776,242,1,113,42208,2255,94.24,0.41
St. Clair County, Alabama,91103,86452,173,1,115,62531,3275,94.89,0.19
Sumter County, Alabama,12345,12131,28,1,119,26150,2033,98.27,0.23
Tallapoosa County, Alabama,41311,39912,45,1,123,48160,3507,96.61,0.11
Tuscaloosa County, Alabama,227036,216301,382,1,125,54283,1663,95.27,0.17
Washington County, Alabama,15388,14816,38,1,129,42331,4919,96.28,0.25
Wilcox County, Alabama,10600,10422,18,1,131,35063,4497,98.32,0.17
Chambers County, Alabama,34772,33562,66,1,17,43875,3861,96.52,0.19
Covington County, Alabama,37570,36128,61,1,39,42566,2958,96.16,0.16
Dale County, Alabama,49326,45906,249,1,45,45644,3070,93.07,0.5
Elmore County, Alabama,87977,83736,173,1,51,62324,3475,95.18,0.2
Fayette County, Alabama,16321,15675,24,1,57,41469,6240,96.04,0.15
Geneva County, Alabama,26659,25140,91,1,61,41569,2055,94.3,0.34
Henry County, Alabama,17146,16464,37,1,67,51715,3572,96.02,0.22
Jefferson County, Alabama,674721,645772,1270,1,73,55088,1091,95.71,0.19
Lawrence County, Alabama,33073,30199,93,1,79,47125,3694,91.31,0.28
Limestone County, Alabama,103570,96885,380,1,83,64270,4043,93.55,0.37
Madison County, Alabama,388153,358764,1776,1,89,66887,1747,92.43,0.46
Marshall County, Alabama,97612,91078,167,1,95,50216,1709,93.31,0.17
Montgomery County, Alabama,228954,220759,521,1,101,51963,1474,96.42,0.23
Perry County, Alabama,8511,8335,15,1,105,23875,2564,97.93,0.18
Randolph County, Alabama,21967,21123,29,1,111,45141,4482,96.16,0.13
Shelby County, Alabama,223024,209440,524,1,117,78889,2171,93.91,0.23
Talladega County, Alabama,82149,79241,126,1,121,43969,2845,96.46,0.15
Walker County, Alabama,65342,62612,101,1,127,45833,2723,95.82,0.15
Winston County, Alabama,23540,22473,19,1,133,40991,5537,95.47,0.08
Aleutians West Census Area, Alaska,5232,4858,30,2,16,87443,4734,92.85,0.57
Anchorage Municipality, Alaska,291247,250445,3703,2,20,84813,1694,85.99,1.27
Bristol Bay Borough, Alaska,844,701,17,2,60,79808,12348,83.06,2.01
Chugach Census Area, Alaska,7102,6342,38,2,63,90776,11147,89.3,0.54
Denali Borough, Alaska,1619,1480,6,2,68,76364,8704,91.41,0.37
Dillingham Census Area, Alaska,4857,4361,47,2,70,57436,4870,89.79,0.97
Haines Borough, Alaska,2080,1838,16,2,100,65014,13908,88.37,0.77
Hoonah-Angoon Census Area, Alaska,2365,2081,36,2,105,59926,4692,87.99,1.52
Kenai Peninsula Borough, Alaska,58799,52811,311,2,122,69245,2464,89.82,0.53
Ketchikan Gateway Borough, Alaska,13948,12246,118,2,130,74678,3876,87.8,0.85
Kusilvak Census Area, Alaska,8368,8176,7,2,158,37358,5640,97.71,0.08
Matanuska-Susitna Borough, Alaska,107081,94782,803,2,170,76118,2374,88.51,0.75
Nome Census Area, Alaska,10046,9205,71,2,180,62843,3023,91.63,0.71
Northwest Arctic Borough, Alaska,7793,7331,45,2,188,63750,6028,94.07,0.58
Petersburg Borough, Alaska,3398,2962,53,2,195,68667,4474,87.17,1.56
Sitka City and Borough, Alaska,8458,7261,70,2,220,81708,6571,85.85,0.83
Skagway Municipality, Alaska,1240,1160,8,2,230,71875,12021,93.55,0.65
Wrangell City and Borough, Alaska,2127,1789,43,2,275,58438,8863,84.11,2.02
Yakutat City and Borough, Alaska,662,544,15,2,282,59517,4015,82.18,2.27
Yukon-Koyukuk Census Area, Alaska,5343,5008,20,2,290,41728,4712,93.73,0.37
Aleutians East Borough, Alaska,3420,3212,26,2,13,75833,10098,93.92,0.76
Bethel Census Area, Alaska,18666,17650,53,2,50,54400,4198,94.56,0.28
Copper River Census Area, Alaska,2617,2335,25,2,66,64745,5978,89.22,0.96
Fairbanks North Star Borough, Alaska,95655,83485,928,2,90,76464,2792,87.28,0.97
Juneau City and Borough, Alaska,32255,27318,586,2,110,88077,3724,84.69,1.82
Kodiak Island Borough, Alaska,13101,11794,91,2,150,79173,11727,90.02,0.69
Lake and Peninsula Borough, Alaska,1476,1309,21,2,164,48750,8358,88.69,1.42
North Slope Borough, Alaska,11031,10072,76,2,185,79083,11750,91.31,0.69
Prince of Wales-Hyder Census Area, Alaska,5753,5095,63,2,198,54018,3164,88.56,1.1
Southeast Fairbanks Census Area, Alaska,6808,6216,45,2,240,66941,7670,91.3,0.66
Apache County, Arizona,66021,63631,145,4,1,33967,2108,96.38,0.22
Cochise County, Arizona,125447,103904,921,4,3,51505,1147,82.83,0.73
Coconino County, Arizona,145101,132138,752,4,5,59000,1900,91.07,0.52
Gila County, Arizona,53272,48680,168,4,7,46907,3169,91.38,0.32
Graham County, Arizona,38533,34407,159,4,9,55693,3071,89.29,0.41
Greenlee County, Arizona,9563,7999,70,4,11,66368,2017,83.65,0.73
La Paz County, Arizona,16557,14496,108,4,12,34956,5708,87.55,0.65
Maricopa County, Arizona,4420568,3819893,27483,4,13,67799,444,86.41,0.62
Mohave County, Arizona,213267,192957,990,4,15,47686,1355,90.48,0.46
Navajo County, Arizona,106717,100434,337,4,17,43140,2357,94.11,0.32
Pima County, Arizona,1043433,869188,7600,4,19,55023,785,83.3,0.73
Pinal County, Arizona,425264,370288,2587,4,21,60968,1223,87.07,0.61
Santa Cruz County, Arizona,47669,30658,219,4,23,41424,2990,64.31,0.46
Yavapai County, Arizona,236209,213970,1006,4,25,53329,1470,90.59,0.43
Yuma County, Arizona,203881,152053,969,4,27,48790,1981,74.58,0.48
Ashley County, Arkansas,19062,18355,37,5,3,43601,4608,96.29,0.19
Baxter County, Arkansas,41627,39404,61,5,5,43504,2832,94.66,0.15
Boone County, Arkansas,37373,35045,84,5,9,46392,2981,93.77,0.22
Calhoun County, Arkansas,4739,4531,5,5,13,50441,4001,95.61,0.11
Carroll County, Arkansas,28260,25902,82,5,15,48249,5253,91.66,0.29
Clark County, Arkansas,21446,20333,36,5,19,39500,3635,94.81,0.17
Clay County, Arkansas,14552,13937,40,5,21,37933,2667,95.77,0.27
Cleveland County, Arkansas,7550,7282,25,5,25,46349,5671,96.45,0.33
Columbia County, Arkansas,22801,21960,24,5,27,37609,5385,96.31,0.11
Craighead County, Arkansas,111231,104667,227,5,31,49730,2148,94.1,0.2
Crittenden County, Arkansas,48163,46344,64,5,35,42384,3232,96.22,0.13
Cross County, Arkansas,16833,16172,50,5,37,44379,3976,96.07,0.3
