State_Name,State_Code,County_Code,FIPS_Code,Population_Under_18
Alabama,01,001,01001,13143
Alabama,01,003,01003,46993
Alabama,01,005,01005,5222
Alabama,01,007,01007,4584
Alabama,01,009,01009,13372
Alabama,01,011,01011,2279
Alabama,01,013,01013,4401
Alabama,01,015,01015,24769
Kentucky,21,135,21135,2985
Kentucky,21,137,21137,5790
Kentucky,21,139,21139,1991
Kentucky,21,141,21141,6375
Kentucky,21,143,21143,1126
Kentucky,21,145,21145,14512
Kentucky,21,147,21147,3775
Kentucky,21,151,21151,19064
Kentucky,21,155,21155,4647
Kentucky,21,157,21157,6351
Kentucky,21,161,21161,3870
Kentucky,21,163,21163,6370
Kentucky,21,167,21167,4779
Kentucky,21,169,21169,2370
Kentucky,21,173,21173,6593
Kentucky,21,175,21175,2443
Kentucky,21,179,21179,10870
Kentucky,21,181,21181,1647
Kentucky,21,185,21185,16923
Kentucky,21,187,21187,2414
Kentucky,21,191,21191,3394
Kentucky,21,195,21195,12089
Kentucky,21,197,21197,3043
Kentucky,21,201,21201,526
Kentucky,21,203,21203,3696
Kentucky,21,207,21207,4051
Kentucky,21,209,21209,14059
Kentucky,21,213,21213,4451
Kentucky,21,215,21215,4338
Kentucky,21,219,21219,3285
Kentucky,21,223,21223,1850
Kentucky,21,225,21225,2671
Kentucky,21,229,21229,2812
Kentucky,21,231,21231,4276
Kentucky,21,235,21235,9066
Kentucky,21,237,21237,1666
Maine,23,001,23001,23388
Maine,23,003,23003,12380
Maine,23,007,23007,5323
Maine,23,009,23009,9240
Maine,23,013,23013,7036
Maine,23,015,23015,5800
Maine,23,019,23019,27515
Maine,23,021,23021,2880
Maine,23,025,23025,9615
Maine,23,029,23029,5994
Maine,23,031,23031,38650
Minnesota,27,003,27003,84515
Minnesota,27,005,27005,8312
Minnesota,27,007,27007,11778
Minnesota,27,009,27009,10302
Minnesota,27,011,27011,1066
Minnesota,27,013,27013,13302
Minnesota,27,015,27015,5468
Minnesota,27,017,27017,8014
Minnesota,27,019,27019,27612
Minnesota,27,021,27021,6195
Minnesota,27,023,27023,2759
Minnesota,27,025,27025,12724
Tennessee,47,121,47121,2482
Tennessee,47,125,47125,54939
Tennessee,47,127,47127,1236
Tennessee,47,131,47131,6611
Tennessee,47,133,47133,4763
Tennessee,47,137,47137,949
Tennessee,47,139,47139,3184
Tennessee,47,143,47143,7498
Tennessee,47,145,47145,9975
Tennessee,47,149,47149,79877
Tennessee,47,151,47151,5228
Tennessee,47,153,47153,2885
Tennessee,47,157,47157,234172
Tennessee,47,159,47159,4502
Tennessee,47,163,47163,30462
Tennessee,47,165,47165,44194
Tennessee,47,169,47169,1993
Tennessee,47,171,47171,2935
Tennessee,47,175,47175,1113
Tennessee,47,177,47177,9660
Tennessee,47,181,47181,2893
Tennessee,47,183,47183,6428
Tennessee,47,187,47187,63015
Tennessee,47,189,47189,33211
Utah,49,003,49003,17324
Utah,49,005,49005,38226
Utah,49,009,49009,150
Utah,49,011,49011,112479
Utah,49,015,49015,2956
Utah,49,017,49017,1182
Utah,49,019,49019,1995
Utah,49,021,49021,15191
Utah,49,023,49023,3983
Utah,49,025,49025,1688
Utah,49,027,49027,4040
Utah,49,029,49029,4238
Utah,49,031,49031,392
Utah,49,033,49033,773
Utah,49,035,49035,310571
Utah,49,037,49037,4627
Utah,49,039,49039,7723
Utah,49,041,49041,6284
Utah,49,043,49043,10154
Utah,49,045,49045,22728
Utah,49,047,49047,11775
Utah,49,049,49049,207116
Utah,49,051,49051,10373
Utah,49,053,49053,44823
Utah,49,055,49055,704
Utah,49,057,49057,71853
Vermont,50,003,50003,6723
Vermont,50,005,50005,5791
Vermont,50,009,50009,1067
Vermont,50,011,50011,10948
Vermont,50,015,50015,5175
Vermont,50,017,50017,5313
Vermont,50,021,50021,10351
Vermont,50,023,50023,10926
Vermont,50,027,50027,9994
Virginia,51,001,51001,6764
Minnesota,27,165,27165,2635
Missouri,29,037,29037,25224
Missouri,29,043,29043,22163
Missouri,29,049,29049,4823
Missouri,29,055,29055,5471
Missouri,29,061,29061,2131
Missouri,29,067,29067,2925
Missouri,29,073,29073,3034
Missouri,29,079,29079,2418
Missouri,29,085,29085,1575
Missouri,29,091,29091,9617
Missouri,29,097,29097,30031
Missouri,29,101,29101,11590
Missouri,29,107,29107,7441
Missouri,29,113,29113,14652
Missouri,29,119,29119,5901
Missouri,29,125,29125,1802
Missouri,29,131,29131,5981
Missouri,29,137,29137,1869
Missouri,29,143,29143,4013
Missouri,29,149,29149,2383
Missouri,29,155,29155,4211
Missouri,29,203,29203,1771
Missouri,29,209,29209,5267
Missouri,29,215,29215,5507
Missouri,29,221,29221,5776
Missouri,29,227,29227,420
Missouri,29,510,29510,58226
Florida,12,005,12005,38057
Florida,12,011,12011,410987
Florida,12,017,12017,21799
Florida,12,023,12023,15349
Florida,12,031,12031,214225
Florida,12,037,12037,1881
Florida,12,043,12043,2064
Florida,12,049,12049,7077
Florida,12,055,12055,17680
Florida,12,061,12061,25154
Florida,12,067,12067,1697
Florida,12,073,12073,54420
Florida,12,077,12077,1524
Florida,12,083,12083,67205
Florida,12,087,12087,11521
Florida,12,093,12093,8861
Nebraska,31,005,31005,114
Nebraska,31,011,31011,1226
Nebraska,31,017,31017,600
Nebraska,31,023,31023,1857
Minnesota,27,159,27159,3493
Nebraska,31,029,31029,844
Nebraska,31,035,31035,1501
Nebraska,31,039,31039,2168
Nebraska,31,045,31045,1584
Nebraska,31,051,31051,1438
Nebraska,31,057,31057,465
Nebraska,31,063,31063,523
Nebraska,31,069,31069,414
Nebraska,31,075,31075,166
Nebraska,31,081,31081,2181
Alabama,01,019,01019,5003
Alabama,01,021,01021,10560
Alabama,01,023,01023,2548
Alabama,01,025,01025,5162
Alabama,01,027,01027,2735
Alabama,01,029,01029,3370
Alabama,01,031,01031,12352
Alabama,01,033,01033,11500
Alabama,01,035,01035,2547
Alabama,01,037,01037,1763
Alabama,01,041,01041,3084
Alabama,01,043,01043,18707
Alabama,01,047,01047,9214
Alabama,01,049,01049,17366
Alabama,01,053,01053,8239
Alabama,01,055,01055,22106
Alabama,01,059,01059,7885
Alabama,01,063,01063,1766
Alabama,01,065,01065,3423
Alabama,01,069,01069,24310
Alabama,01,071,01071,10865
Alabama,01,075,01075,3041
Alabama,01,077,01077,18320
Alabama,01,081,01081,34530
Alabama,01,085,01085,2217
Alabama,01,087,01087,3189
Alabama,01,091,01091,4447
Alabama,01,093,01093,6214
Alabama,01,097,01097,97183
Alabama,01,099,01099,4561
Alabama,01,103,01103,27385
Alabama,01,107,01107,3947
Alabama,01,109,01109,6285
Alabama,01,113,01113,13981
Alabama,01,115,01115,20129
Alabama,01,119,01119,2425
Alabama,01,123,01123,8382
Alabama,01,125,01125,43767
Alabama,01,129,01129,3479
Alabama,01,131,01131,2512
California,06,001,06001,341591
California,06,003,06003,252
California,06,007,06007,44865
California,06,011,06011,5863
California,06,013,06013,260191
California,06,017,06017,37911
California,06,019,06019,281391
Alabama,01,017,01017,6946
California,06,023,06023,25945
California,06,025,06025,51772
California,06,029,06029,258159
California,06,031,06031,40923
California,06,035,06035,4937
California,06,039,06039,42781
California,06,041,06041,51974
California,06,043,06043,2844
California,06,045,06045,18592
California,06,047,06047,80729
California,06,049,06049,1743
Minnesota,27,027,27027,15727
Minnesota,27,029,27029,2200
Minnesota,27,031,27031,836
Minnesota,27,033,27033,2756
Minnesota,27,035,27035,13953
Minnesota,27,037,27037,103782
Minnesota,27,039,27039,5445
Minnesota,27,041,27041,8107
Minnesota,27,043,27043,3029
Minnesota,27,045,27045,5154
Minnesota,27,049,27049,10245
Minnesota,27,051,27051,1370
Minnesota,27,055,27055,4093
Minnesota,27,057,27057,4454
Minnesota,27,061,27061,9398
Minnesota,27,065,27065,3462
Minnesota,27,067,27067,10453
Minnesota,27,071,27071,2225
Minnesota,27,073,27073,1313
Minnesota,27,077,27077,746
Minnesota,27,079,27079,6757
Minnesota,27,083,27083,6601
Minnesota,27,085,27085,8227
Minnesota,27,089,27089,2150
Minnesota,27,091,27091,4289
Minnesota,27,095,27095,6208
Minnesota,27,097,27097,7851
Minnesota,27,101,27101,1770
Minnesota,27,103,27103,7529
Minnesota,27,107,27107,1532
Minnesota,27,109,27109,38372
Minnesota,27,113,27113,3278
Minnesota,27,115,27115,5737
Minnesota,27,119,27119,7631
Minnesota,27,121,27121,2275
Minnesota,27,125,27125,981
Minnesota,27,127,27127,3771
Minnesota,27,131,27131,14487
Minnesota,27,133,27133,2290
Minnesota,27,137,27137,37883
Minnesota,27,139,27139,40383
Minnesota,27,143,27143,3487
Minnesota,27,145,27145,37056
Minnesota,27,149,27149,2072
Minnesota,27,151,27151,2119
Minnesota,27,155,27155,654
Minnesota,27,157,27157,4643
Minnesota,27,161,27161,4362
Minnesota,27,163,27163,63411
Minnesota,27,167,27167,1365
Minnesota,27,169,27169,9100
Minnesota,27,171,27171,38061
Minnesota,27,173,27173,2263
Missouri,29,001,29001,4768
Missouri,29,003,29003,4034
Missouri,29,005,29005,1027
Missouri,29,007,29007,5794
Missouri,29,009,29009,8070
Missouri,29,011,29011,2756
Virginia,51,005,51005,2855
Virginia,51,007,51007,2757
Virginia,51,011,51011,3370
Virginia,51,013,51013,42470
Virginia,51,017,51017,630
Virginia,51,019,51019,15760
Virginia,51,023,51023,6460
Virginia,51,025,51025,2602
Virginia,51,029,51029,3167
Virginia,51,031,51031,11078
Virginia,51,035,51035,5449
Virginia,51,036,51036,1053
Virginia,51,037,51037,2641
Virginia,51,043,51043,2833
Virginia,51,045,51045,901
Virginia,51,049,51049,1949
Virginia,51,051,51051,2794
Virginia,51,057,51057,2036
Virginia,51,059,51059,270227
Virginia,51,063,51063,3010
Virginia,51,065,51065,5388
Virginia,51,069,51069,20183
Virginia,51,071,51071,3432
Virginia,51,075,51075,4163
Virginia,51,077,51077,2612
Virginia,51,081,51081,1759
Virginia,51,083,51083,6996
Virginia,51,087,51087,75113
Virginia,51,089,51089,9953
Virginia,51,093,51093,7803
Virginia,51,095,51095,15028
Virginia,51,097,51097,1329
Virginia,51,099,51099,6673
Virginia,51,101,51101,3822
Virginia,51,103,51103,1678
Virginia,51,105,51105,4332
Virginia,51,107,51107,114090
Virginia,51,109,51109,7418
Virginia,51,111,51111,2431
Virginia,51,113,51113,2742
Virginia,51,115,51115,1319
Virginia,51,117,51117,5724
Virginia,51,119,51119,1710
Virginia,51,121,51121,15221
Virginia,51,125,51125,2609
Virginia,51,127,51127,4403
Virginia,51,131,51131,2322
Virginia,51,133,51133,1778
Virginia,51,135,51135,2946
Virginia,51,137,51137,7660
Virginia,51,139,51139,4771
Virginia,51,141,51141,3098
Virginia,51,145,51145,5323
Virginia,51,147,51147,3532
Virginia,51,149,51149,8424
Virginia,51,155,51155,6059
Virginia,51,157,51157,1381
Virginia,51,161,51161,18952
Nebraska,31,087,31087,678
Nebraska,31,093,31093,1564
Nebraska,31,099,31099,1669
Nebraska,31,105,31105,679
Nebraska,31,111,31111,8355
Nebraska,31,117,31117,49
Nebraska,31,123,31123,1103
Nebraska,31,127,31127,1484
Nebraska,31,175,31175,895
Nebraska,31,179,31179,1841
Nebraska,31,185,31185,3168
Nevada,32,005,32005,7984
Nevada,32,011,32011,511
Nevada,32,017,32017,983
Nevada,32,023,32023,7722
Nevada,32,031,32031,100439
New Hampshire,33,001,33001,11277
New Hampshire,33,007,33007,5119
New Hampshire,33,013,33013,28876
New Hampshire,33,019,33019,8056
Louisiana,22,005,22005,33551
Louisiana,22,011,22011,9240
Louisiana,22,017,22017,57800
Louisiana,22,023,22023,1510
Louisiana,22,029,22029,4651
Louisiana,22,035,22035,1714
Louisiana,22,041,22041,5097
Louisiana,22,047,22047,6711
Louisiana,22,053,22053,7999
Louisiana,22,101,22101,12015
Louisiana,22,107,22107,1036
Louisiana,22,111,22111,4891
Louisiana,22,117,22117,11030
Louisiana,22,123,22123,2471
New York,36,003,36003,9216
New York,36,009,36009,17059
New York,36,015,36015,17990
New York,36,021,36021,10370
New York,36,027,36027,55351
New York,36,031,36031,5995
New York,36,037,36037,11671
New York,36,043,36043,12710
New York,36,049,36049,6059
New York,36,055,36055,154685
New York,36,061,36061,233239
New York,36,067,36067,98353
New York,36,073,36073,7851
New York,36,079,36079,19591
New York,36,085,36085,103981
North Carolina,37,007,37007,4876
North Carolina,37,013,37013,9469
North Carolina,37,019,37019,20949
North Carolina,37,025,37025,54189
North Carolina,37,031,37031,12106
North Carolina,37,037,37037,14673
North Carolina,37,045,37045,21483
North Carolina,37,051,37051,82782
North Carolina,37,057,37057,36729
California,06,053,06053,113350
California,06,055,06055,28555
California,06,057,06057,17000
California,06,059,06059,697715
California,06,061,06061,87116
California,06,063,06063,3172
California,06,065,06065,613823
California,06,067,06067,363852
California,06,069,06069,15844
California,06,071,06071,570845
California,06,073,06073,718250
California,06,075,06075,117363
California,06,077,06077,203670
California,06,079,06079,49949
California,06,081,06081,156769
California,06,085,06085,421988
California,06,087,06087,52286
California,06,091,06091,444
California,06,095,06095,98625
California,06,097,06097,97601
California,06,101,06101,24979
California,06,103,06103,15329
California,06,107,06107,142777
California,06,109,06109,8986
California,06,113,06113,45977
California,06,115,06115,21355
Arkansas,05,003,05003,4568
Arkansas,05,005,05005,7266
Arkansas,05,009,05009,8523
Arkansas,05,013,05013,966
Arkansas,05,015,05015,6144
Arkansas,05,019,05019,4240
Arkansas,05,021,05021,3156
Arkansas,05,025,05025,1825
Arkansas,05,027,05027,4893
Arkansas,05,031,05031,26962
Arkansas,05,035,05035,13177
Arkansas,05,037,05037,3950
Arkansas,05,041,05041,2962
Arkansas,05,043,05043,3972
Arkansas,05,047,05047,4072
Arkansas,05,049,05049,2553
Arkansas,05,053,05053,4094
Arkansas,05,057,05057,5511
Arkansas,05,059,05059,7177
Arkansas,05,063,05063,9008
Arkansas,05,065,05065,2370
California,06,051,06051,2983
Arkansas,05,069,05069,14968
Arkansas,05,071,05071,6438
Arkansas,05,075,05075,3626
Arkansas,05,079,05079,2228
Arkansas,05,081,05081,2745
Arkansas,05,085,05085,18762
Arkansas,05,087,05087,3789
Arkansas,05,091,05091,10325
Arkansas,05,095,05095,1443
Arkansas,05,097,05097,1662
Missouri,29,013,29013,3828
Missouri,29,015,29015,3344
Missouri,29,017,29017,2642
Missouri,29,019,29019,36546
Missouri,29,021,29021,19798
Missouri,29,023,29023,10071
Missouri,29,025,29025,2132
Missouri,29,027,29027,9540
Missouri,29,029,29029,8096
Missouri,29,031,29031,16782
Missouri,29,033,29033,1937
Missouri,29,035,29035,1481
Missouri,29,039,29039,3440
Missouri,29,041,29041,1693
Missouri,29,045,29045,1550
Missouri,29,047,29047,59453
Missouri,29,051,29051,17155
Missouri,29,053,29053,3839
Missouri,29,057,29057,1554
